|level|customer_id|company_name|contact_name|contact_title|address|city|region|postal_code|country|phone|fax
0|Padrão|TOMSP|Toms Spezialitäten|Karin Josephs|Marketing Manager|Luisenstr. 48|Münster||44087|Germany|0251-031259|0251-035695
1|Padrão|OLDWO|Old World Delicatessen|Rene Phillips|Sales Representative|2743 Bering St.|Anchorage|AK|99508|USA|(907) 555-7584|(907) 555-2880
2|Padrão|MAGAA|Magazzini Alimentari Riuniti|Giovanni Rovelli|Marketing Manager|Via Ludovico il Moro 22|Bergamo||24100|Italy|035-640230|035-640231
3|Padrão|QUEEN|Queen Cozinha|Lúcia Carvalho|Marketing Assistant|Alameda dos Canàrios, 891|Sao Paulo|SP|05487-020|Brazil|(11) 555-1189|
4|Padrão|VINET|Vins et alcools Chevalier|Paul Henriot|Accounting Manager|59 rue de l'Abbaye|Reims||51100|France|26.47.15.10|26.47.15.11
5|Padrão|ANTON|Antonio Moreno Taquería|Antonio Moreno|Owner|Mataderos  2312|México D.F.||05023|Mexico|(5) 555-3932|
6|Padrão|MORGK|Morgenstern Gesundkost|Alexander Feuer|Marketing Assistant|Heerstr. 22|Leipzig||04179|Germany|0342-023176|
7|Padrão|GOURL|Gourmet Lanchonetes|André Fonseca|Sales Associate|Av. Brasil, 442|Campinas|SP|04876-786|Brazil|(11) 555-9482|
8|Padrão|WOLZA|Wolski  Zajazd|Zbyszek Piestrzeniewicz|Owner|ul. Filtrowa 68|Warszawa||01-012|Poland|(26) 642-7012|(26) 642-7012
9|Padrão|WILMK|Wilman Kala|Matti Karttunen|Owner/Marketing Assistant|Keskuskatu 45|Helsinki||21240|Finland|90-224 8858|90-224 8858
10|Padrão|FURIB|Furia Bacalhau e Frutos do Mar|Lino Rodriguez|Sales Manager|Jardim das rosas n. 32|Lisboa||1675|Portugal|(1) 354-2534|(1) 354-2535
11|Basic|DUMON|Du monde entier|Janine Labrune|Owner|67, rue des Cinquante Otages|Nantes||44000|France|40.67.88.88|40.67.89.89
12|Super|FRANK|Frankenversand|Peter Franken|Marketing Manager|Berliner Platz 43|München||80805|Germany|089-0877310|089-0877451
13|Padrão|FAMIA|Familia Arquibaldo|Aria Cruz|Marketing Assistant|Rua Orós, 92|Sao Paulo|SP|05442-030|Brazil|(11) 555-9857|
14|Padrão|TORTU|Tortuga Restaurante|Miguel Angel Paolino|Owner|Avda. Azteca 123|México D.F.||05033|Mexico|(5) 555-2933|
15|Padrão|FRANS|Franchi S.p.A.|Paolo Accorti|Sales Representative|Via Monte Bianco 34|Torino||10100|Italy|011-4988260|011-4988261
16|Basic|CONSH|Consolidated Holdings|Elizabeth Brown|Sales Representative|Berkeley Gardens 12  Brewery|London||WX1 6LT|UK|(171) 555-2282|(171) 555-9199
17|Super|LEHMS|Lehmanns Marktstand|Renate Messner|Sales Representative|Magazinweg 7|Frankfurt a.M.||60528|Germany|069-0245984|069-0245874
18|Padrão|ALFKI|Alfreds Futterkiste|Maria Anders|Sales Representative|Obere Str. 57|Berlin||12209|Germany|030-0074321|030-0076545
19|Padrão|RICAR|Ricardo Adocicados|Janete Limeira|Assistant Sales Agent|Av. Copacabana, 267|Rio de Janeiro|RJ|02389-890|Brazil|(21) 555-3412|
20|Basic|ANATR|Ana Trujillo Emparedados y helados|Ana Trujillo|Owner|Avda. de la Constitución 2222|México D.F.||05021|Mexico|(5) 555-4729|(5) 555-3745
21|Padrão|CHOPS|Chop-suey Chinese|Yang Wang|Owner|Hauptstr. 29|Bern||3012|Switzerland|0452-076545|
22|Basic|GROSR|GROSELLA-Restaurante|Manuel Pereira|Owner|5ª Ave. Los Palos Grandes|Caracas|DF|1081|Venezuela|(2) 283-2951|(2) 283-3397
23|Super|HUNGO|Hungry Owl All-Night Grocers|Patricia McKenna|Sales Associate|8 Johnstown Road|Cork|Co. Cork||Ireland|2967 542|2967 3333
24|Padrão|OTTIK|Ottilies Käseladen|Henriette Pfalzheim|Owner|Mehrheimerstr. 369|Köln||50739|Germany|0221-0644327|0221-0765721
25|Padrão|AROUT|Around the Horn|Thomas Hardy|Sales Representative|120 Hanover Sq.|London||WA1 1DP|UK|(171) 555-7788|(171) 555-6750
26|Padrão|KOENE|Königlich Essen|Philip Cramer|Sales Associate|Maubelstr. 90|Brandenburg||14776|Germany|0555-09876|
27|Basic|LAUGB|Laughing Bacchus Wine Cellars|Yoshi Tannamuri|Marketing Assistant|1900 Oak St.|Vancouver|BC|V3F 2K1|Canada|(604) 555-3392|(604) 555-7293
28|Basic|THECR|The Cracker Box|Liu Wong|Marketing Assistant|55 Grizzly Peak Rd.|Butte|MT|59801|USA|(406) 555-5834|(406) 555-8083
29|Basic|BOLID|Bólido Comidas preparadas|Martín Sommer|Owner|C/ Araquil, 67|Madrid||28023|Spain|(91) 555 22 82|(91) 555 91 99
30|Super|BONAP|Bon app'|Laurence Lebihan|Owner|12, rue des Bouchers|Marseille||13008|France|91.24.45.40|91.24.45.41
31|Padrão|SANTG|Santé Gourmet|Jonas Bergulfsen|Owner|Erling Skakkes gate 78|Stavern||4110|Norway|07-98 92 35|07-98 92 47
32|Padrão|GODOS|Godos Cocina Típica|José Pedro Freyre|Sales Manager|C/ Romero, 33|Sevilla||41101|Spain|(95) 555 82 82|
33|Padrão|BSBEV|B's Beverages|Victoria Ashworth|Sales Representative|Fauntleroy Circus|London||EC2 5NT|UK|(171) 555-1212|
34|Padrão|HANAR|Hanari Carnes|Mario Pontes|Accounting Manager|Rua do Paço, 67|Rio de Janeiro|RJ|05454-876|Brazil|(21) 555-0091|(21) 555-8765
35|Padrão|MAISD|Maison Dewey|Catherine Dewey|Sales Agent|Rue Joseph-Bens 532|Bruxelles||B-1180|Belgium|(02) 201 24 67|(02) 201 24 68
36|Super|BERGS|Berglunds snabbköp|Christina Berglund|Order Administrator|Berguvsvägen  8|Luleå||S-958 22|Sweden|0921-12 34 65|0921-12 34 67
37|Padrão|SPLIR|Split Rail Beer & Ale|Art Braunschweiger|Sales Manager|P.O. Box 555|Lander|WY|82520|USA|(307) 555-4680|(307) 555-6525
38|Padrão|CACTU|Cactus Comidas para llevar|Patricio Simpson|Sales Agent|Cerrito 333|Buenos Aires||1010|Argentina|(1) 135-5555|(1) 135-4892
39|Padrão|BLONP|Blondesddsl père et fils|Frédérique Citeaux|Marketing Manager|24, place Kléber|Strasbourg||67000|France|88.60.15.31|88.60.15.32
40|Super|HILAA|HILARION-Abastos|Carlos Hernández|Sales Representative|Carrera 22 con Ave. Carlos Soublette #8-35|San Cristóbal|Táchira|5022|Venezuela|(5) 555-1340|(5) 555-1948
41|Super|ERNSH|Ernst Handel|Roland Mendel|Sales Manager|Kirchgasse 6|Graz||8010|Austria|7675-3425|7675-3426
42|Padrão|ROMEY|Romero y tomillo|Alejandra Camino|Accounting Manager|Gran Vía, 1|Madrid||28001|Spain|(91) 745 6200|(91) 745 6210
